Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
27	10,43	2151	2282756	89404	101043	0,036	1	Benzoic acid, 2-hydroxy-, methyl ester $$ Salicylic acid, methyl ester $$ 2 -hydroxy-benzoic acid methyl ester $$ 2-(Methoxycarbonyl)phenol $$ 2-Carbomethoxyphenol $$ 5-METHOXYCARBONYL-2-NORBORNENE $$ Analgit $$ Anthrapole ND $$ Betula $$ Betula oil	96	152,047	000119-36-8	C:\Database\W10N11_Full.L	75583
28	10,578	2182	452054	23941	35565	0,028	1	Decanal $$ 1-DECANAL $$ 1-DECANAL (MIXED ISOMERS) $$ 1-DECYL ALDEHYDE $$ 3,4-DIHYDRO-5,7-DIHYDROXY-2H-1-BENZOPYRAN-3-YL 3,4-DIHYDROXYBENZOATE $$ ALDEHYDE C10 $$ C-10 ALDEHYDE $$ CAPRALDEHYDE $$ CAPRIC ALDEHYDE $$ CAPRINALDEHYDE $$ CAPRINIC ALDEHYDE	38	156,151	000112-31-2	C:\Database\W10N11_Full.L	87250
							2	cis-11-Hexadecenal $$ 11-Hexadecenal, (Z)- $$ (Z)-11-Hexadecenal $$ Z-11-Hexadecenal $$ (11Z)-11-Hexadecenal #	30	238,23	053939-28-9	C:\Database\W10N11_Full.L	320496
							3	4-Piperidinecarboxamide $$ ISONIPECOTAMIDE $$ PIPECOLAMIDE $$ piperidine-4-carboxamide $$ EINECS 254-501-6 $$ I17907 $$ NSC 82318	20	128,095	039546-32-2	C:\Database\W10N11_Full.L	35852
29	10,978	2266	674191	19135	30719	0,045	1	Phenol, 2-(6,7-dimethoxy-1-isoquinolinyl)- $$ 2-(6,7-dimethoxy-1-isoquinolinyl)phenol $$ 2-(6,7-DIMETHOXY-1-ISQUINOLINYL)PHENOL	72	281,105	078632-08-3	C:\Database\W10N11_Full.L	456925
							2	Cyclotetrasiloxane, octamethyl- $$ Oktamethylcyklotetrasiloxan $$ NUC Silicone VS 7207 $$ CO9810 $$ O9810 $$ Octamethyltetrasiloxane $$ 2,2,4,4,6,6,8,8-Octamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocane # $$ Octamethylcyclotetrasiloxane	64	296,075	000556-67-2	C:\Database\W10N11_Full.L	501772
							3	1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol	56	370,148	2000699-64-2	C:\Database\W10N11_Full.L	699642
30	11,454	2366	655245	35698	47771	0,029	1	(2-Methylphenyl) methanol, ethyl ether	89	150,104	2000072-44-7	C:\Database\W10N11_Full.L	72447
							2	6-butyl-1H-benzo[d][1,2,3]triazole	47	175,111	2000130-63-2	C:\Database\W10N11_Full.L	130632
							3	3-Pyridinecarbonitrile $$ 3- OR 4-Cyanopyridine $$ 3- OR 4-Pyridyl-carbonitrile $$ 3-AZABENZONITRILE $$ 3-CYANOPYRIDINE $$ 3-CYJANOPIRYDYNA $$ 3-PYRIDINECARBONITRIL $$ 3-PYRIDINECARBOXYLIC ACID, NITRILE $$ 3-PYRIDINENITRILE $$ 3-PYRIDYL CYANIDE	46	104,037	000100-54-9	C:\Database\W10N11_Full.L	14556
31	11,597	2396	2950144	158085	172873	0,028	1	3,5-Dimethoxytoluene $$ Benzene, 1,3-dimethoxy-5-methyl- $$ Orcinol dimethyl ether $$ Toluene, 3,5-dimethoxy- $$ 1,3-Dimethoxy-5-methylbenzene $$ 5-Methylresorcinol dimethyl ether	97	152,084	004179-19-5	C:\Database\W10N11_Full.L	76404
							2	Toluene, 3,5-dimethoxy- $$ TOLUOL, 3,5-DIMETHOXY-	94	152,084	2000076-40-0	C:\Database\W10N11_Full.L	76400
							3	1,3-Dimethoxy-5-methylbenzene	78	152,084	2000076-40-8	C:\Database\W10N11_Full.L	76408
32	11,692	2416	1321165	58022	75311	0,033	1	Cyclohexanone, 2-methyl-5-(1-methylethenyl)-, (2R-trans)- $$ p-Menth-8-en-2-one, (+)- $$ (+)-dihydro-carvone $$ (+)-p-menth-8-en-2-on $$ (1R,4R)-(+)-DIHYDROCARVONE $$ (1R,4R)-(+)-dihydrocarvone (carvone numbering) $$ (E)-DIHYDROCARVONE	35	152,12	005524-05-0	C:\Database\W10N11_Full.L	76856
							2	3.beta.-Ethyl-4-methylene-2-oxabicyclo[4.3.0]nonane $$ (2S)-2-ethyl-3-methyleneoctahydrocyclopenta[b]pyran	25	166,136	2000109-00-2	C:\Database\W10N11_Full.L	109002
							3	3.alpha.-Ethyl-4-methylene-2-oxabicyclo[4.3.0]nonane $$ (2R)-2-ethyl-3-methyleneoctahydrocyclopenta[b]pyran	25	166,136	2000109-00-1	C:\Database\W10N11_Full.L	109001
33	11,897	2459	413322	14040	26209	0,043	1	Cyclohexane, 2-ethenyl-1,1-dimethyl-3-methylene- $$ 1,1-Dimethyl-3-methylene-2-vinylcyclohexane #	27	150,141	095452-08-7	C:\Database\W10N11_Full.L	73345
							2	1,7-Octadien-3-one, 2-methyl-6-methylene- $$ 2-Methyl-6-methylene-1,7-octadien-3-one # $$ 2,6-Dimethyleneoct-7-en-3-one $$ 2-Methyl-6-methyleneocta-1,7-dien-3-one $$ 2-Methyl-6-methylen-octa-1,7-dien-3-one	27	150,104	041702-60-7	C:\Database\W10N11_Full.L	73045
							3	2(3H)-Furanone, 3-(1,1-dimethylethyl)- $$ 3-(t-Butyl)furan-2(5H)-one $$ 3-T-BUTYL-3H-FURAN-2-ONE $$ 3-tert-butyl-2(3H)-furanone	25	140,084	132639-07-7	C:\Database\W10N11_Full.L	54083
34	11,959	2472	259353	16764	28883	0,022	1	4(10)-Thujene $$ Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)- $$ (+)-Sabinene $$ (1S,5S)-1-Isopropyl-4-methylenebicyclo[3.1.0]hexane $$ (1S,5S)-Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)- $$ Sabenene $$ Sabinen $$ Sabinene	87	136,125	003387-41-5	C:\Database\W10N11_Full.L	48395
							2	Cyclohexanol, 1-methyl-4-(1-methylethylidene)- $$ .gamma.-Terpineol $$ 1-Methyl-4-(1-methylethylidene)cyclohexanol #	53	154,136	000586-81-2	C:\Database\W10N11_Full.L	82731
							3	Isobornyl acetate $$ Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, acetate, exo- $$ Isoborneol, acetate $$ Acetic acid, isobornyl ester $$ Pichtosin $$ Pichtosine $$ iso-Bornyl acetate $$ 1,7,7-Trimethylbicyclo[2.2.1]hept-2-yl acetate #	53	196,146	000125-12-2	C:\Database\W10N11_Full.L	188419
35	12,025	2486	88712260	5323664	5335731	0,026	1	ortho-Methoxyacetophenone $$ 2-Methoxyacetophenone $$ o-Methoxyacetophenone $$ 2'-Methoxyacetophenone $$ o-Acetanisole $$ Ethanone, 1-(2-methoxyphenyl)- $$ o-Acetylanisole $$ Acetophenone, 2'-methoxy- $$ o-Methoxy acetophenone	97	150,068	000579-74-8	C:\Database\W10N11_Full.L	71384
							2	3-Butyn-2-ol, 2-methyl-4-(1H-pyrazol-4-yl)- $$ 2-methyl-4-(1H-pyrazol-4-yl)-3-butyn-2-ol $$ 2-methyl-4-(1H-pyrazol-4-yl)but-3-yn-2-ol $$ 2-METHYL-4-(4-PYRAZOLYL)-3-BUTIN-2-OL	83	150,079	116228-46-7	C:\Database\W10N11_Full.L	71109
							3	3-Methyl-6-hydroxybenzo[c]-dihydrofuran $$ 1-Methyl-1,3-dihydro-isobenzofuran-5-ol $$ 3-methyl-2,3-dihydro-1-benzofuran-6-ol $$ 3-methyl-2,3-dihydrobenzofuran-6-ol $$ 3-methylcoumaran-6-ol	83	150,068	2000071-41-2	C:\Database\W10N11_Full.L	71412
36	12,225	2528	5176243	156505	168413	0,045	1	2-Propen-1-ol, 3-phenyl- $$ Cinnamyl alcohol $$ .gamma.-Phenylallyl alcohol $$ Cinnamic alcohol $$ Phenyl-2-propen-1-ol $$ Styrone $$ Styryl carbinol $$ 3-Phenylallyl alcohol $$ 1-Phenyl-1-propen-3-ol $$ 3-Phenyl-2-propen-1-ol $$ 3-Phenyl-2-propenol	91	134,073	000104-54-1	C:\Database\W10N11_Full.L	44507
							2	Benzenepropanal $$ .beta.-Phenylpropionaldehyde $$ 3-Phenyl-1-propanal $$ 3-Phenylpropan-1-al $$ 3-Phenylpropanal $$ 3-Phenylpropionaldehyde $$ 3-Phenylpropyl aldehyde $$ BENZENEPROPANA $$ Benzylacetaldehyde $$ beta phenyl-propionaldehyde	60	134,073	000104-53-0	C:\Database\W10N11_Full.L	44634
							3	1(3H)-Isobenzofuranone $$ Phthalide $$ 1-Phthalanone $$ 2-Hydroxymethylbenzoic acid, .gamma.-lactone $$ Phthalolactone $$ 2-Benzofuran-1(3H)-one #	15	134,037	000087-41-2	C:\Database\W10N11_Full.L	44151
37	12,511	2588	1359291	66925	78610	0,03	1	Cyclohexasiloxane, dodecamethyl- $$ Dodecamethylcyclohexasiloxane $$ 2,2,4,4,6,6,8,8,10,10,12,12-Dodecamethylcyclohexasiloxane #	90	444,113	000540-97-6	C:\Database\W10N11_Full.L	816769
							2	4-(4-Chlorophenyl)-2,6-diphenylpyridine	38	341,097	001498-82-4	C:\Database\W10N11_Full.L	634009
							3	2,4-Bis(5-methyl-2-thienyl)-4H-3,1-benzothiazine	38	341,037	2000632-98-9	C:\Database\W10N11_Full.L	632989
38	12,735	2635	849094	34134	45644	0,034	1	Benzoic acid, 2-methoxy-, methyl ester $$ o-Anisic acid, methyl ester $$ o-Methoxybenzoic acid methyl ester $$ Methyl o-methoxybenzoate $$ Methyl 2-methoxybenzoate $$ 2-Methoxybenzoic acid, methyl ester $$ Dimethyl salicylate $$ Methyl o-anisate	94	166,063	000606-45-1	C:\Database\W10N11_Full.L	107470
							2	2-Methoxy-N-(6-nitro-2-benzothiazolyl)benzamide $$ 2-Methoxy-N-(6-nitro-1,3-benzothiazol-2-yl)benzamide #	49	329,047	301859-01-8	C:\Database\W10N11_Full.L	600780
							3	ortho-Methoxyacetophenone $$ 2-Methoxyacetophenone $$ o-Methoxyacetophenone $$ 2'-Methoxyacetophenone $$ o-Acetanisole $$ Ethanone, 1-(2-methoxyphenyl)- $$ o-Acetylanisole $$ Acetophenone, 2'-methoxy- $$ o-Methoxy acetophenone	49	150,068	000579-74-8	C:\Database\W10N11_Full.L	71385
39	12,806	2650	1424996	80878	92332	0,027	1	3-Cyclohexene-1-carboxaldehyde, 1,4-dimethyl- $$ 1,4-dimethyl-1-cyclohex-3-enecarboxaldehyde $$ 1,4-dimethyl-3-cyclohexene-1-carbaldehyde $$ 1,4-DIMETHYLCYCLOHEX-1-EN-4-YLCARBOXALDEHYDE $$ 1,4-dimethylcyclohex-3-ene-1-carbaldehyde	38	138,104	000933-44-8	C:\Database\W10N11_Full.L	51434
							2	Cyclopenten-4-one, 1,2,3,3-tetramethyl- $$ 2,2,3,4-Tetramethyl-3-cyclopenten-1-one #	38	138,104	2000051-19-1	C:\Database\W10N11_Full.L	51191
							3	9-Borabicyclo[3.3.1]nonane, 9-(3-pentyloxy)- $$ 9-(1-Ethylpropoxy)-9-borabicyclo[3.3.1]nonane #	38	208,2	2000224-76-5	C:\Database\W10N11_Full.L	224765
40	13,006	2692	292252	17774	30780	0,024	1	(2-METHOXYPHENYL)ACETALDEHYDE $$ 1-(2-Methoxybenzene)ethanone $$ 1-(2-Methoxyphenyl)ethanone $$ 2-(2-methoxyphenyl)acetaldehyde $$ 2-(2-methoxyphenyl)ethanal $$ BENZENEACETALDEHYDE, 2-METHOXY- $$ ortho-Acetylanisole $$ NSC 110725	35	150,068	033567-59-8	C:\Database\W10N11_Full.L	71387
							2	2-methoxy acetophenone $$ 2-methoxy-1-phenyl-ethanone $$ METHOXYACETOPHENONE	25	150,068	2000071-79-5	C:\Database\W10N11_Full.L	71795
							3	Benzaldehyde-2-hydroxy,hydrazone -4-methoxybenzoyl-, $$ 2-HYDROXYBENZALDEHYDE[2-(4-METHOXYPHENYL)-2-OXOETHYL]HYDRAZONE	25	284,116	2000466-34-5	C:\Database\W10N11_Full.L	466345
41	13,225	2738	710661	32069	46927	0,032	1	5-METHOXY-3-METHYL-2,1-BENZISOXAZOLE $$ 5-Methoxy-3-methyl-benzo[c]isoxazole $$ 5-Methoxy-3-methylanthranil $$ methyl 3-methyl-2,1-benzisoxazol-5-yl ether	59	163,063	2000100-43-6	C:\Database\W10N11_Full.L	100436
							2	1H-Pyrrolizine-2-carboxylic acid, 1-oxo- $$ 1-OXO-1H-PYRROLIZIN-2-CARBOXYLIC ACID $$ 1-oxo-1H-pyrrolo[1,2-a]pyrrole-2-carboxylic acid	46	163,027	081400-16-0	C:\Database\W10N11_Full.L	100093
							3	1,3,4-Trimethyladamantane $$ 1,2,5-Trimethyladamantane #	46	178,172	2000139-30-4	C:\Database\W10N11_Full.L	139304
42	13,287	2751	366907	16961	35008	0,036	1	1.xi.,6.xi.,7.xi.-Cadina-4,9-diene $$ Naphthalene, 1,2,4a,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-, (1.alpha.,4a.alpha.,8a.alpha.)- $$ Naphthalene, 1,2,4a.beta.,5,6,8a.beta.-hexahydro-1.beta.-isopropyl-4,7-dimethyl- $$ (+)-.alpha.-MUUROLENE	43	204,188	031983-22-9	C:\Database\W10N11_Full.L	212416
							2	1H-Cycloprop[e]azulene, 1a,2,3,5,6,7,7a,7b-octahydro-1,1,4,7-tetramethyl-, (+)- $$ 1H-Cycloprop[e]azulene, 1a,2,3,5,6,7,7a,7b-octahydro-1,1,4,7-tetramethyl-, [1aR-(1a.alpha.,7.alpha.,7a.beta.,7b.alpha.)]- $$ Ledene $$ (+)-LEDENE $$ LEDEN	35	204,188	021747-46-6	C:\Database\W10N11_Full.L	212657
							3	.beta.-Selinene $$ Eudesma-4(14),11-diene $$ Naphthalene, decahydro-4a-methyl-1-methylene-7-(1-methylethenyl)-, [4aR-(4a.alpha.,7.alpha.,8a.beta.)]- $$ 7-ISOPROPENYL-4A-METHYL-1-METHYLENEDECAHYDRONAPHTHALENE $$ (+)-.beta.-selinene	30	204,188	017066-67-0	C:\Database\W10N11_Full.L	212889
43	13,397	2774	3057225	154043	169845	0,033	1	2-Propenoic acid, 3-phenyl-, methyl ester, (Z)- $$ Cinnamic acid, methyl ester, (Z)- $$ (Z)-3-phenyl-2-propenoic acid, methyl ester $$ (Z)-3-phenylacrylic acid methyl ester $$ (Z)-ZIMTSAEURE, METHYLESTER $$ cis-cinnamic acid methyl ester	94	162,068	019713-73-6	C:\Database\W10N11_Full.L	98227
							2	2-Propenoic acid, 3-phenyl-, methyl ester $$ Cinnamic acid, methyl ester $$ METHYL (2E)-3-PHENYL-2-PROPENOATE $$ (E)-ZIMTSAEURE, METHYLESTER $$ (Z)-3-phenyl-2-propenoic acid, methyl ester $$ (Z)-3-phenylacrylic acid methyl ester $$ MC $$ AI3-00579	93	162,068	000103-26-4	C:\Database\W10N11_Full.L	98226
							3	2-Propenoic acid, 3-phenyl-, methyl ester, (E)- $$ Cinnamic acid, methyl ester, (E)- $$ (E)-Methyl cinnamate $$ trans-Methyl cinnamate $$ trans-Methyl 3-phenyl-2-propenoate $$ Methyl (E)-cinnamate $$ Methyl trans-cinnamate $$ Methyl cinnamate, (E)	93	162,068	001754-62-7	C:\Database\W10N11_Full.L	98207
44	13,549	2806	3077477	192328	208667	0,027	1	2H-2,4a-Methanonaphthalene, 1,3,4,5,6,7-hexahydro-1,1,5,5-tetramethyl-, (2S)- $$ 2H-2,4a-Methanonaphthalene, 1,3,4,5,6,7-hexahydro-1,1,5,5-tetramethyl-, (2S,4aR)-(-)- $$ Isolongifolene $$ (-)-Isolongifoline $$ Isolongipholene	98	204,188	001135-66-6	C:\Database\W10N11_Full.L	211744
							2	1,4-Methanoazulene, decahydro-4,8,8-trimethyl-9-methylene-, (1S,3aR,4S,8aS)-(+)- $$ 1,4-Methanoazulene, decahydro-4,8,8-trimethyl-9-methylene-, [1S-(1.alpha.,3a.beta.,4.alpha.,8a.beta.)]- $$ Longifolene $$ (+)-LONGIFOLEN $$ (+)-LONGOFOLENE	95	204,188	000475-20-7	C:\Database\W10N11_Full.L	212351
							3	Ethanone, 1-[2,2-dimethyl-1-(3-methyl-1,3-butadienyl)bicyclo[2.1.0]pent-5-yl]-, (E)- $$ (E)-5-ACETYL-2,2-DIMETHYL-1-(3'-METHYL-1',3'-BUTADIEN-1'-YL)BICYCLO[2.1.0]PENTANE $$ BICYCLO[2.1.0]PENTANE, ETHANONE DERIV.	90	204,151	077822-54-9	C:\Database\W10N11_Full.L	211365
45	13,744	2847	1457644	70464	91490	0,031	1	1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7R,7aR,7bS)-(+)- $$ 1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, [1aR-(1a.alpha.,4a.alpha.,7.alpha.,7a.beta.,7b.alpha.)]- $$ Aromadendrene	95	204,188	000489-39-4	C:\Database\W10N11_Full.L	212033
							2	1,4-Methano-1H-indene, octahydro-1,7a-dimethyl-4-(1-methylethenyl)-, [1S-(1.alpha.,3a.beta.,4.alpha.,7a.beta.)]-	90	204,188	087064-18-4	C:\Database\W10N11_Full.L	212197
							3	1,6-Cyclodecadiene, 1-methyl-5-methylene-8-(1-methylethyl)-, [s-(E,E)]- $$ Germacra-1(10),4(15),5-triene, (-)- $$ 8-ISOPROPYL-1-METHYL-5-METHYLENE-1,6-CYCLODECADIENE $$ (-)-GERMACRENE D $$ (1E,6E)-8-isopropyl-1-methyl-5-methylene-cyclodeca-1,6-diene	86	204,188	023986-74-5	C:\Database\W10N11_Full.L	211900
46	13,806	2860	544742	35758	53486	0,024	1	Longifolene $$ 1,4-Methanoazulene, decahydro-4,8,8-trimethyl-9-methylene-, [1S-(1.alpha.,3a.beta.,4.alpha.,8a.beta.)]- $$ 1,4-Methanoazulene, decahydro-4,8,8-trimethyl-9-methylene-, (1S,3aR,4S,8aS)-(+)- $$ (+)-Longifolene $$ D-longifolene $$ Junipen	99	204,188	000475-20-7	C:\Database\W10N11_Full.L	212343
							2	1,1,7-TRIMETHYL-4-METHYLENEDECAHYDRO-1H-CYCLOPROPA[E]AZULENE $$ (+)-(1aR,4aR,7R,7aR,7bS)-decahydro-1,1,7-trimethyl-4-methylene-1H-cyclo-prop[e]azulene $$ (+)-AROMADENDREN $$ (+)-aromadendrene $$ allo-aromadendrene $$ ALLOAROMADENDREN	96	204,188	000489-39-4	C:\Database\W10N11_Full.L	212021
							3	2H-2,4a-Methanonaphthalene, 1,3,4,5,6,7-hexahydro-1,1,5,5-tetramethyl-, (2S)- $$ 2H-2,4a-Methanonaphthalene, 1,3,4,5,6,7-hexahydro-1,1,5,5-tetramethyl-, (2S,4aR)-(-)- $$ Isolongifolene $$ (-)-ISOLONGIFOLINE $$ ISOLONGIFOLEN $$ EINECS 214-494-2	96	204,188	001135-66-6	C:\Database\W10N11_Full.L	211745
47	13,982	2897	1428200	91475	109522	0,024	1	Caryophyllene $$ Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, [1R-(1R*,4E,9S*)]- $$ Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (E)-(1R,9S)-(-)- $$ .beta.-Caryophyllen $$ .beta.-Caryophyllene $$ trans-Caryophyllene	99	204,188	000087-44-5	C:\Database\W10N11_Full.L	212245
							2	Bicyclo[5.2.0]nonane, 2-methylene-4,8,8-trimethyl-4-vinyl- $$ 4,8,8-Trimethyl-2-methylene-4-vinylbicyclo[5.2.0]nonane #	98	204,188	242794-76-9	C:\Database\W10N11_Full.L	211868
							3	TRANS(.BETA.)-CARYOPHYLLENE $$ (1R,4Z,9S)-4,11,11-trimethyl-8-methylene-bicyclo[7.2.0]undec-4-ene $$ (1R,4Z,9S)-4,11,11-trimethyl-8-methylidene-bicyclo[7.2.0]undec-4-ene $$ (1R,9S)-4,11,11-trimethyl-8-methylenebicyclo[7.2.0]undec-4-ene	91	204,188	2000212-22-4	C:\Database\W10N11_Full.L	212224
48	14,425	2990	163622	15352	34817	0,017	1	Docosane $$ C22H46 STANDARD $$ n-docosane $$ n-docosane n-ALKANE $$ n-docosanene - $$ NORMAL-DOCOSANE $$ EINECS 211-121-5 $$ NSC 77139	52	310,36	000629-97-0	C:\Database\W10N11_Full.L	548195
							2	Dodecane, 2,6,10-trimethyl- (CAS) $$ Farnesane $$ Farnesan $$ 2,6,10-Trimethyldodecane $$ 2,6,10 - trimethyl - do - decane	49	212,25	003891-98-3	C:\Database\W10N11_Full.L	237835
							3	Pentadecane $$ .n-penta-decane $$ CH3(CH2)13CH3 $$ n-penta-decane $$ BRN 1698194 $$ EINECS 211-098-1 $$ HSDB 5729 $$ NSC 172781	47	212,25	000629-62-9	C:\Database\W10N11_Full.L	237828
49	14,592	3025	2489141	147716	166157	0,026	1	Cyclododecane	97	168,188	000294-62-2	C:\Database\W10N11_Full.L	115017
							2	Cyclodecane	96	140,157	000293-96-9	C:\Database\W10N11_Full.L	55431
							3	1-dodecanol $$ 1-DODECYL ALCOHOL $$ 1-hydroxy-dodecane $$ ADOL 10 $$ ADOL 11 $$ ADOL 12 $$ ALCOHOL C-12 $$ Alcohol C-2 $$ ALFOL 12 $$ C12 ALCOHOL $$ CACHALOT L-50 $$ CACHALOT L-90 $$ CO 12 $$ CONOL 20P $$ CONOL 20PP $$ DODECAN-1-OL $$ DODECANOL	91	186,198	000112-53-8	C:\Database\W10N11_Full.L	160959
50	14,659	3039	369373	17915	42423	0,034	1	Hexanoic acid $$ 1-Hexanoic acid $$ 1-hexanoic acid; n-caproic acid $$ 1-Pentanecarboxylic acid $$ Butylacetic acid $$ CALCIUM HEXANOATE $$ Caproic acid $$ Caproic acid fcc $$ Capronic acid $$ CAPRONSAEURE $$ CH3(CH2)4COOH $$ Hexacid 698 $$ HEXANOIC	53	116,084	000142-62-1	C:\Database\W10N11_Full.L	23715
							2	.beta.-D-Glucopyranose, 1,6-anhydro- $$ Anhydro-d-mannosan $$ Levoglucosan $$ 1,6-Anhydro-.beta.-D-glucopyranose $$ 1,6-Anhydro-beta-D-glucopyranose	50	162,053	000498-07-7	C:\Database\W10N11_Full.L	97196
							3	Sedoheptulosan $$ Sedoheptulose anhydride $$ .beta.-D-altro-2-Heptulopyranose, 2,7-anhydro-	40	192,063	000469-90-9	C:\Database\W10N11_Full.L	173547
51	14,778	3064	13718483	896856	922382	0,026	1	1-(2,3,4-TRIMETHYLPHENYL)ETHANONE $$ ETHANONE, 1-(2,3,4-TRIMETHYLPHENYL)-	96	162,104	001467-36-3	C:\Database\W10N11_Full.L	99226
							2	Ethanone, 1-(2,4,6-trimethylphenyl)- $$ 1-MESITYLETHANONE $$ (2,4,6-TRIMETHYLPHENYL)ETHANONE $$ 1,3,5-TRIMETHYL-2-ACETYLBENZENE $$ 1-(2,4,6-trimethylphenyl)ethanone $$ 2',4',6'-Trimethylacetophenone $$ 2,4,6-TRIMETHYL-ACETOPHENONE $$ Acetomesitylene	94	162,104	001667-01-2	C:\Database\W10N11_Full.L	99351
							3	Benzene, 1,3-bis(1-methylethyl)- $$ Benzene, m-diisopropyl- $$ 1,3-BIS(1-METHYLETHYL)BENZENE $$ 1,3-di(propan-2-yl)benzene $$ 1,3-Diisopropylbenzene $$ 3-ISOPROPYLCUMENE $$ BENZENE, 1,3-DI-(1-METHYLETHYL) $$ M-DIISOPROPYBENZENE $$ AI3-08224	81	162,141	000099-62-7	C:\Database\W10N11_Full.L	99651
52	14,921	3094	1269678	59768	77653	0,035	1	3-Isopropoxy-1,1,1,7,7,7-hexamethyl-3,5,5-tris(trimethylsiloxy)tetrasiloxane $$ 1-Isopropoxy-3,3,3-trimethyl-1-[(trimethylsilyl)oxy]disiloxanyl tris(trimethylsilyl) orthosilicate #	35	576,21	071579-69-6	C:\Database\W10N11_Full.L	891218
							2	Pentasiloxane, dodecamethyl- $$ Dodecamethylpentasiloxane $$ 1,1,1,3,3,5,5,7,7,9,9,9-Dodecamethylpentasiloxane #	35	384,146	000141-63-9	C:\Database\W10N11_Full.L	727560
							3	Trisiloxane, 1,1,1,5,5,5-hexamethyl-3,3-bis[(trimethylsilyl)oxy]- (CAS) $$ Tetrakis(trimethylsiloxy)silane $$ Trisiloxane, 1,1,1,5,5,5-hexamethyl-3,3-bis(trimethylsiloxy)- $$ Tetrakis(trimethylsilyloxy)silane $$ EINECS 222-613-4	27	384,146	003555-47-3	C:\Database\W10N11_Full.L	727565
53	15,025	3116	305833	24052	71011	0,021	1	1-Dodecanamine, N,N-dimethyl- (CAS) $$ DI-METHYLDODECYLAMINE $$ DDA $$ RC 5629 $$ Armeen DM-12D $$ Armeen DM 12D $$ Antioxidant DDA $$ DDA (antioxidant) $$ Dimethyl Lauramine $$ Lauryldimethylamine $$ Dodecyldimethylamine $$ n-Lauryldimethylamine	86	213,246	000112-18-5	C:\Database\W10N11_Full.L	239637
							2	Stearyltrimethylammonium chloride $$ 1-Octadecanaminium, N,N,N-trimethyl-, chloride $$ Arquad 18-50 $$ Octadecyl trimethyl ammonium chloride $$ Octosol 474 $$ Stear-trimonium chloride $$ Stearyl trimethyl ammoium chloride $$ Tomah Q-ST-50	80	347,332	000112-03-8	C:\Database\W10N11_Full.L	648985
							3	1-Octadecanamine, N,N-dimethyl- $$ (Hydrochloride salt) dimantine $$ ADMA 18 $$ ADOGEN 342D $$ ADOGEN MA-108 SF $$ AMINE 2M18D $$ ARMEEN DM 18D $$ ARMINE DM18D $$ BARLENE 18S $$ CRODAMINE 3.A18D $$ DIMANTHINE $$ DIMANTINA $$ DIMANTINE $$ DIMANTINUM	72	297,34	000124-28-7	C:\Database\W10N11_Full.L	507919
54	15,078	3127	5307447	366071	414342	0,023	1	(3E,6E)-3,7,11-TRIMETHYL-1,3,6,10-DODECATETRAENE $$ (3E,6E)-3,7,11-trimethyldodeca-1,3,6,10-tetraene $$ (E)-FARNESENE $$ (E,E)-.alpha.-FARNESENE $$ .alpha.-FARNESENE $$ .alpha.-FARNESENE, (E,E)- $$ .alpha.-FARNESENE, (Z,E)- $$ .beta.-(E)-FARNESENE	95	204,188	000502-61-4	C:\Database\W10N11_Full.L	211781
							2	1,3,6-Octatriene, 3,7-dimethyl-, (E)- $$ (3E)-3,7-DIMETHYL-1,3,6-OCTATRIENE $$ (3E)-3,7-dimethylocta-1,3,6-triene $$ (E)-3,7-DIMETHYLOCTA-1,3,6-TRIENE $$ (E)-Ocimene $$ - $$ .beta. OCIMENE Y $$ .beta.-(E)-OCIMENE $$ .beta.-CIS-OCIMENE $$ OCIMENE-X	55	136,125	003779-61-1	C:\Database\W10N11_Full.L	48230
							3	1,3,7-Octatriene, 3,7-dimethyl-, (E)- $$ (3E)-3,7-DIMETHYL-1,3,7-OCTATRIENE $$ (3E)-3,7-dimethylocta-1,3,7-triene $$ .alpha.-OCIMENE $$ 1,3,7-OCTATRIENE, 3,7-DIMETHYL- $$ 2,6-DIMETHYL-1,5,7-OCTATRIENE $$ 3,7-DIMETHYL-1,3,7-OCTATRIENE $$ CIS-OCIMENE	53	136,125	006874-10-8	C:\Database\W10N11_Full.L	48752
55	16,021	3325	3961737	244147	260684	0,024	1	Benzoic acid, 3,5-dimethoxy-, methyl ester $$ Methyl 3,5-dimethoxybenzoate $$ 3,5-Dimethoxybenzoic acid methyl ester $$ 3,5-Dihydroxybenzoic acid, dimethyl ether, methyl ester	97	196,074	002150-37-0	C:\Database\W10N11_Full.L	186943
